cluster,hhid,extid
21,21044,21044-02
95,95066,95066-02
95,95198,95198-07
95,95198,95198-08
11,11081,11081-02
11,11081,11081-03
49,49256,49256-03
33,33116,33116-04
33,33116,33116-11
12,12001,12001-06
12,12001,12001-07
12,12001,12001-08
59,59024,59024-07
59,59024,59024-08
59,59024,59024-09
72,72036,72036-03
72,72036,72036-04
90,90368,90368-03
90,90368,90368-04
90,90368,90368-05
55,55011,55011-04
36,36034,36034-07
36,36034,36034-08
59,59025,59025-04
59,59025,59025-05
90,90249,90249-04
90,90249,90249-05
94,94037,94037-03
94,94037,94037-04
94,94037,94037-05
94,94038,94038-05
94,94038,94038-06
59,59026,59026-05
38,38067,38067-04
24,24082,24082-03
44,44045,44045-04
91,91033,91033-04
91,91033,91033-05
91,91033,91033-07
94,94036,94036-05
94,94036,94036-06
94,94036,94036-08
94,94036,94036-09
61,61088,61088-04
61,61088,61088-05
61,61088,61088-06
68,68030,68030-03
68,68030,68030-04
68,68030,68030-05
94,94035,94035-08
94,94027,94027-04
94,94027,94027-05
94,94027,94027-06
49,49221,49221-04
49,49221,49221-05
59,59029,59029-03
63,63033,63033-02
63,63033,63033-03
63,63033,63033-04
63,63033,63033-05
12,12020,12020-03
94,94033,94033-06
94,94033,94033-07
94,94033,94033-09
14,14047,14047-04
67,67145,67145-03
67,67145,67145-04
67,67145,67145-05
67,67145,67145-08
81,81093,81093-03
81,81093,81093-04
81,81093,81093-05
67,67138,67138-02
67,67143,67143-03
67,67143,67143-04
67,67143,67143-05
65,65072,65072-04
65,65072,65072-05
74,74060,74060-02
74,74060,74060-03
14,14046,14046-04
78,78031,78031-03
78,78031,78031-04
59,59033,59033-04
17,17050,17050-03
17,17050,17050-04
17,17050,17050-05
33,33112,33112-08
33,33112,33112-09
70,70076,70076-02
70,70076,70076-03
91,91032,91032-03
94,94028,94028-04
94,94028,94028-05
94,94028,94028-06
07,07026,07026-05
07,07026,07026-06
17,17003,17003-04
17,17003,17003-05
17,17003,17003-06
17,17003,17003-07
17,17003,17003-08
33,33110,33110-03
33,33110,33110-04
53,53065,53065-04
53,53065,53065-05
17,17046,17046-02
17,17046,17046-03
25,25047,25047-06
95,95161,95161-04
95,95161,95161-06
95,95161,95161-09
95,95161,95161-10
68,68023,68023-03
13,13057,13057-02
13,13057,13057-03
94,94022,94022-05
25,25009,25009-06
25,25009,25009-07
25,25009,25009-08
13,13028,13028-03
24,24040,24040-04
24,24040,24040-05
75,75103,75103-09
54,54067,54067-02
25,25042,25042-04
25,25042,25042-05
25,25042,25042-06
25,25042,25042-07
63,63028,63028-02
63,63028,63028-03
63,63028,63028-04
63,63028,63028-05
25,25041,25041-02
25,25041,25041-03
25,25041,25041-04
46,46039,46039-03
96,96032,96032-05
96,96032,96032-06
34,34074,34074-04
34,34074,34074-05
17,17008,17008-03
53,53038,53038-05
53,53038,53038-06
53,53038,53038-07
53,53038,53038-08
53,53038,53038-09
67,67131,67131-03
67,67131,67131-04
67,67131,67131-05
56,56111,56111-03
56,56152,56152-03
44,44042,44042-03
44,44042,44042-04
44,44042,44042-05
56,56151,56151-03
56,56151,56151-04
56,56151,56151-05
69,69040,69040-06
69,69040,69040-07
69,69040,69040-08
69,69040,69040-09
79,79009,79009-03
44,44044,44044-04
44,44044,44044-05
44,44044,44044-06
44,44039,44039-03
54,54060,54060-09
54,54060,54060-10
54,54060,54060-11
54,54060,54060-12
25,25037,25037-02
25,25037,25037-03
25,25037,25037-04
25,25037,25037-05
96,96063,96063-06
96,96063,96063-07
96,96063,96063-08
25,25034,25034-04
96,96031,96031-02
96,96031,96031-03
96,96031,96031-04
94,94021,94021-03
94,94021,94021-04
16,16077,16077-09
16,16077,16077-10
16,16077,16077-11
16,16077,16077-12
16,16077,16077-13
37,37029,37029-07
37,37029,37029-08
37,37029,37029-09
37,37029,37029-11
37,37029,37029-12
37,37029,37029-13
37,37029,37029-14
37,37029,37029-15
37,37029,37029-16
22,22012,22012-05
22,22012,22012-06
22,22012,22012-07
91,91028,91028-04
91,91028,91028-05
91,91028,91028-06
91,91028,91028-07
44,44038,44038-03
91,91027,91027-05
17,17010,17010-03
41,41049,41049-03
77,77120,77120-06
77,77120,77120-07
25,25036,25036-03
25,25036,25036-04
56,56149,56149-03
07,07038,07038-08
07,07038,07038-10
07,07038,07038-11
41,41038,41038-05
41,41038,41038-06
41,41038,41038-07
25,25033,25033-03
25,25033,25033-04
25,25033,25033-05
61,61030,61030-03
61,61030,61030-04
61,61030,61030-05
61,61030,61030-06
61,61030,61030-07
07,07040,07040-05
61,61029,61029-04
61,61029,61029-05
61,61029,61029-06
38,38031,38031-02
38,38031,38031-03
25,25001,25001-05
25,25001,25001-06
17,17013,17013-03
17,17013,17013-04
81,81084,81084-05
81,81084,81084-06
95,95190,95190-05
41,41052,41052-04
88,88058,88058-03
88,88058,88058-04
88,88058,88058-05
88,88058,88058-06
45,45084,45084-04
81,81083,81083-02
81,81083,81083-03
36,36030,36030-09
36,36030,36030-13
05,05076,05076-02
05,05076,05076-03
96,96028,96028-06
96,96028,96028-07
96,96028,96028-08
96,96028,96028-09
57,57054,57054-05
57,57054,57054-06
57,57054,57054-07
15,15030,15030-04
15,15030,15030-05
15,15030,15030-06
15,15030,15030-07
10,10061,10061-02
55,55013,55013-03
61,61060,61060-02
84,84026,84026-03
84,84026,84026-04
44,44033,44033-02
