cluster,extid
9,09016-02
9,09031-03
9,09031-05
9,09094-01
9,09096-02
9,09097-03
9,09104-02
9,09106-03
15,15002-04
15,15002-05
15,15052-04
15,15057-03
15,15058-02
15,15073-01
15,15074-04
15,15074-06
20,20003-02
20,20003-03
20,20003-08
20,20004-03
20,20005-03
20,20012-02
20,20013-01
20,20019-02
27,27015-01
27,27020-01
27,27037-01
27,27038-02
27,27042-02
27,27045-04
27,27049-03
27,27050-02
28,28029-06
28,28030-02
28,28044-01
28,28052-03
28,28054-02
28,28087-01
28,28094-02
28,28104-01
41,41006-05
41,41009-03
41,41016-01
41,41021-02
41,41042-01
41,41055-01
41,41055-02
41,41075-01
59,59016-03
59,59035-01
59,59037-01
59,59039-01
59,59039-02
59,59042-02
59,59046-01
59,59048-02
77,77083-03
77,77091-02
77,77110-03
77,77135-02
77,77140-01
77,77158-06
77,77183-02
77,77238-06
85,85004-01
85,85023-01
85,85035-01
85,85039-01
85,85040-01
85,85043-03
85,85047-01
85,85048-03
94,94001-03
94,94006-02
94,94008-02
94,94009-05
94,94018-01
94,94023-01
94,94035-04
94,94040-01
