cluster_number,randomization_number,core_buffer,painted_recon_hh_id,map_recon_hh_id,sub_county,ward,community_health_unit,village,longitude,latitude,wall_type,roof_type
1,1,Core,CD-886,CD-886,Msambweni,Ramisi,Mafisini,Kidzumbani,39.4213992,-4.4549922,mixed_blocks_mud,zinc
1,2,Core,CD-895,CD-895,Msambweni,Ramisi,Mafisini,Kidzumbani,39.4176043,-4.4564246,traditional_mud,palm
1,3,Core,CD-883,CF-136,Msambweni,Ramisi,Mafisini,Kidzumbani,39.421912,-4.4566472,traditional_mud,palm
1,4,Core,CD-877,CD-877,Msambweni,Ramisi,Mafisini,Kidzumbani,39.421367,-4.4547395,traditional_mud,palm
1,1,Buffer,CD-876,CD-876,Msambweni,Ramisi,Mafisini,Kidzumbani,39.4235483,-4.4547667,traditional_mud,palm
1,2,Buffer,CD-889,CD-889,Msambweni,Ramisi,Mafisini,Kidzumbani,39.4187412,-4.4580825,traditional_mud,palm
1,3,Buffer,CD-890,CD-890,Msambweni,Ramisi,Mafisini,Kidzumbani,39.4174731,-4.4586844,traditional_mud,palm
1,4,Buffer,CD-891,CD-891,Msambweni,Ramisi,Mafisini,Kidzumbani,39.4175076,-4.4586603,traditional_mud,palm
11,1,Core,BB-907,BB-907,LungaLunga,Pongwe kikoneni,Bumbani,Mwabandari,39.3135091,-4.4308785,traditional_mud,palm
11,2,Core,BB-868,BB-868,LungaLunga,Pongwe kikoneni,Bumbani,Mwabandari,39.3098773,-4.4308519,traditional_mud,zinc
11,3,Core,BB-870,BB-870,LungaLunga,Pongwe kikoneni,Bumbani,Mwabandari,39.3113252,-4.4283909,mixed_blocks_mud,zinc
11,4,Core,BB-905,BB-905,LungaLunga,Pongwe kikoneni,Bumbani,Mwabandari,39.3129893,-4.4313564,traditional_mud,palm
11,1,Buffer,BB-848,BB-848,LungaLunga,Pongwe kikoneni,Bumbani,Mwabandari,39.3130494,-4.4350537,mixed_blocks_mud,zinc
11,2,Buffer,BB-899,BB-899,LungaLunga,Pongwe kikoneni,Bumbani,Mwabandari,39.3078476,-4.4328896,traditional_mud,zinc
11,3,Buffer,BB-860,BB-860,LungaLunga,Pongwe kikoneni,Bumbani,Mwabandari,39.314175,-4.4335504,traditional_mud,zinc
11,4,Buffer,BB-897,BB-897,LungaLunga,Pongwe kikoneni,Bumbani,Mwabandari,39.3079899,-4.4336923,mixed_blocks_mud,zinc
17,1,Core,BJ-060,BJ-060,Msambweni,Ramisi,Shirazi,Mchinjirini,39.3932941,-4.4902678,traditional_mud,palm
17,2,Core,BJ-047,BJ-047,Msambweni,Ramisi,Shirazi,Mchinjirini,39.392589,-4.4906452,block_cement,zinc
17,3,Core,BJ-061,BJ-061,Msambweni,Ramisi,Shirazi,Mchinjirini,39.3932601,-4.4902584,traditional_mud,palm
17,4,Core,BJ-048,BJ-048,Msambweni,Ramisi,Shirazi,Mchinjirini,39.3918401,-4.4917018,traditional_mud,palm
17,1,Buffer,BJ-045,BJ-045,Msambweni,Ramisi,Shirazi,Mchinjirini,39.392639,-4.4895147,traditional_mud,palm
17,2,Buffer,BJ-073,BJ-073,Msambweni,Ramisi,Shirazi,Mchinjirini,39.3954298,-4.491981,block_cement,zinc
17,3,Buffer,BH-049,BH-049,Msambweni,Ramisi,Bodo,Darigube,39.3922141,-4.4951845,traditional_mud,palm
17,4,Buffer,BJ-070,BJ-070,Msambweni,Ramisi,Shirazi,Mchinjirini,39.3941643,-4.492125,traditional_mud,palm
33,1,Core,BB-648,BB-648,LungaLunga,Pongwe kikoneni,Neema,Chigombero,39.3526677,-4.5031609,traditional_mud,palm
33,2,Core,BB-647,BB-647,LungaLunga,Pongwe kikoneni,Neema,Chigombero,39.3526436,-4.5030767,traditional_mud,zinc
33,3,Core,BB-651,BB-651,LungaLunga,Pongwe kikoneni,Neema,Chigombero,39.353097,-4.5032045,traditional_mud,palm
33,4,Core,AW-748,AW-748,LungaLunga,Pongwe kikoneni,Neema,Chigombero,39.3549149,-4.5017833,traditional_mud,zinc
33,1,Buffer,AW-745,AW-745,LungaLunga,Pongwe kikoneni,Neema,Chigombero,39.3563634,-4.4999689,traditional_mud,zinc
33,2,Buffer,AW-740,AW-740,LungaLunga,Pongwe kikoneni,Neema,Chigombero,39.3585489,-4.5011239,traditional_mud,zinc
33,3,Buffer,AW-735,AW-735,LungaLunga,Pongwe kikoneni,Neema,Chigombero,39.3582082,-4.5006019,traditional_mud,palm
33,4,Buffer,AW-744,AW-744,LungaLunga,Pongwe kikoneni,Neema,Chigombero,39.3566415,-4.5000087,block_cement,zinc
43,1,Core,BB-212,BB-212,LungaLunga,Pongwe kikoneni,Jitahidi,Kifuku,39.2868241,-4.4767592,traditional_mud,palm
43,2,Core,BB-266,BB-266,LungaLunga,Pongwe kikoneni,Jitahidi,Kifuku,39.2885537,-4.4755483,traditional_mud,zinc
43,3,Core,BB-283,BB-283,LungaLunga,Pongwe kikoneni,Jitahidi,Kifuku,39.290592,-4.4776441,block_cement,zinc
43,4,Core,BB-275,BB-275,LungaLunga,Pongwe kikoneni,Jitahidi,Kifuku,39.2900159,-4.4782644,block_cement,zinc
43,1,Buffer,BB-259,BB-259,LungaLunga,Pongwe kikoneni,Jitahidi,Kifuku,39.2901946,-4.474003,traditional_mud,palm
43,2,Buffer,AY-641,AY-641,LungaLunga,Pongwe kikoneni,Jitahidi,Kifuku,39.2906324,-4.4834967,traditional_mud,palm
43,3,Buffer,BB-248,BB-248,LungaLunga,Pongwe kikoneni,Jitahidi,Kifuku,39.2901684,-4.4718207,traditional_mud,zinc
43,4,Buffer,BB-247,BB-247,LungaLunga,Pongwe kikoneni,Jitahidi,Kifuku,39.2902097,-4.4718108,traditional_mud,palm
60,1,Core,AV-637,AV-679,LungaLunga,Pongwe kikoneni,Mwangwei,Mshiu,39.308572,-4.5383081,traditional_mud,palm
60,2,Core,AV-637,AV-637,LungaLunga,Pongwe kikoneni,Mwangwei,Mshiu,39.3085257,-4.5382165,traditional_mud,palm
60,3,Core,AV-628,AV-677,LungaLunga,Pongwe kikoneni,Mwangwei,Mshiu,39.3069267,-4.5382562,traditional_mud,palm
60,4,Core,AV-661,AV-661,LungaLunga,Pongwe kikoneni,Mwangwei,Mshiu,39.3080688,-4.5450331,palm,palm
60,1,Buffer,AB-669,AB-669,LungaLunga,Pongwe kikoneni,Mwangwei,Magoma,39.3061751,-4.5476157,traditional_mud,palm
60,2,Buffer,AB-686,AB-686,LungaLunga,Pongwe kikoneni,Mwangwei,Magoma,39.302251,-4.5389236,traditional_mud,palm
60,3,Buffer,AV-630,AV-630,LungaLunga,Pongwe kikoneni,Mwangwei,Mshiu,39.3068329,-4.5382704,traditional_mud,palm
60,4,Buffer,AV-645,AV-645,LungaLunga,Pongwe kikoneni,Mwangwei,Mshiu,39.3117534,-4.5354598,palm,palm
66,1,Core,AM-661,AM-661,LungaLunga,Pongwe kikoneni,Mzizima A,Lolagako,39.355072,-4.5799947,traditional_mud,palm
66,2,Core,AM-660,AM-660,LungaLunga,Pongwe kikoneni,Mzizima A,Lolagako,39.3584435,-4.5733933,traditional_mud,palm
66,3,Core,AM-657,AM-657,LungaLunga,Pongwe kikoneni,Mzizima A,Lolagako,39.3563412,-4.5734435,block_cement,zinc
66,4,Core,AW-827,AW-827,LungaLunga,Pongwe kikoneni,Mzizima A,Lolagako,39.357039,-4.5821177,traditional_mud,palm
66,1,Buffer,AW-836,AW-836,LungaLunga,Pongwe kikoneni,Mzizima A,Lolagako,39.3548902,-4.5834339,block_cement,palm
66,2,Buffer,AW-826,AW-826,LungaLunga,Pongwe kikoneni,Mzizima A,Lolagako,39.359202,-4.5831225,traditional_mud,palm
66,3,Buffer,AW-831,AW-831,LungaLunga,Pongwe kikoneni,Mzizima A,Lolagako,39.3551553,-4.584009,traditional_mud,palm
66,4,Buffer,AW-832,AW-832,LungaLunga,Pongwe kikoneni,Mzizima A,Lolagako,39.3550126,-4.5840337,traditional_mud,palm
77,1,Core,AT-117,AT-117,LungaLunga,Pongwe kikoneni,Mzizima B,Kivumoni,39.348709,-4.6035471,block_cement,zinc
77,2,Core,AT-119,AT-119,LungaLunga,Pongwe kikoneni,Mzizima B,Kivumoni,39.3492044,-4.6034947,block_cement,zinc
77,3,Core,AT-313,AT-313,LungaLunga,Pongwe kikoneni,Mzizima B,Kikomani,39.349183,-4.6026486,block_cement,zinc
77,4,Core,AT-311,AT-311,LungaLunga,Pongwe kikoneni,Mzizima B,Kikomani,39.349408,-4.602538,block_cement,zinc
77,1,Buffer,AT-143,AT-143,LungaLunga,Pongwe kikoneni,Mzizima B,Kivumoni,39.3504421,-4.6046851,traditional_mud,palm
77,2,Buffer,AT-297,AT-297,LungaLunga,Pongwe kikoneni,Mzizima B,Kikomani,39.3530516,-4.6017043,block_cement,zinc
77,3,Buffer,AT-284,AT-284,LungaLunga,Pongwe kikoneni,Mzizima B,Kikomani,39.3524529,-4.6005031,palm,palm
77,4,Buffer,AT-034,AT-034,LungaLunga,Pongwe kikoneni,Mzizima B,Kivumoni,39.3512211,-4.6040453,block_cement,zinc
79,1,Core,AB-437,AB-482,LungaLunga,Pongwe kikoneni,Majoreni,Mwanaire,39.2678169,-4.5559592,traditional_mud,zinc
79,2,Core,AB-449,AB-449,LungaLunga,Pongwe kikoneni,Majoreni,Mwanaire,39.2724074,-4.5519341,traditional_mud,zinc
79,3,Core,AB-444,AB-444,LungaLunga,Pongwe kikoneni,Majoreni,Mwanaire,39.2685872,-4.5552429,traditional_mud,palm
79,4,Core,AB-439,AB-439,LungaLunga,Pongwe kikoneni,Majoreni,Mwanaire,39.2679086,-4.5560497,traditional_mud,palm
79,1,Buffer,AF-944,AF-944,LungaLunga,Pongwe kikoneni,Majoreni,Kivuma,39.2657191,-4.5609881,mixed_blocks_mud,zinc
79,2,Buffer,AB-457,AB-456,LungaLunga,Pongwe kikoneni,Majoreni,Mwanaire,39.2722133,-4.5511173,traditional_mud,palm
79,3,Buffer,AB-453,AB-453,LungaLunga,Pongwe kikoneni,Majoreni,Mwanaire,39.2719888,-4.5510058,traditional_mud,palm
79,4,Buffer,AB-454,AB-454,LungaLunga,Pongwe kikoneni,Majoreni,Mwanaire,39.2720931,-4.5508918,traditional_mud,palm
85,1,Core,AF-915,AF-915,LungaLunga,Pongwe kikoneni,Majoreni,Kivuma,39.25133,-4.5553501,traditional_mud,palm
85,2,Core,AF-913,AF-913,LungaLunga,Pongwe kikoneni,Majoreni,Kivuma,39.2511776,-4.5557726,traditional_mud,palm
85,3,Core,AF-912,AF-912,LungaLunga,Pongwe kikoneni,Majoreni,Kivuma,39.2509988,-4.5559693,traditional_mud,zinc
85,4,Core,AF-916,AF-916,LungaLunga,Pongwe kikoneni,Majoreni,Kivuma,39.2514303,-4.5552367,traditional_mud,palm
85,1,Buffer,AF-919,AF-919,LungaLunga,Pongwe kikoneni,Majoreni,Kivuma,39.2502349,-4.5551166,traditional_mud,palm
85,2,Buffer,AF-928,AF-928,LungaLunga,Pongwe kikoneni,Majoreni,Kivuma,39.2490159,-4.5549836,traditional_mud,palm
85,3,Buffer,AF-927,AF-927,LungaLunga,Pongwe kikoneni,Majoreni,Kivuma,39.2490817,-4.5549929,traditional_mud,zinc
85,4,Buffer,AF-888,AF-888,LungaLunga,Pongwe kikoneni,Majoreni,Kivuma,39.2543386,-4.556014,traditional_mud,zinc
86,1,Core,AK-871,AK-871,LungaLunga,Pongwe kikoneni,Rise And Shine,Mwarani,39.4024775,-4.6397219,Nylons,zinc
86,2,Core,AK-874,AK-874,LungaLunga,Pongwe kikoneni,Rise And Shine,Mwarani,39.3984157,-4.6406579,traditional_mud,palm
86,3,Core,AL-229,AL-229,LungaLunga,Pongwe kikoneni,Shimoni,Anzwani,39.4006153,-4.6374862,traditional_mud,zinc
86,4,Core,AK-873,AK-873,LungaLunga,Pongwe kikoneni,Rise And Shine,Mwarani,39.3986334,-4.6407838,Grass,grass
86,1,Buffer,AL-225,AL-225,LungaLunga,Pongwe kikoneni,Shimoni,Anzwani,39.3939167,-4.6347237,traditional_mud,palm
86,2,Buffer,AF-623,AF-623,LungaLunga,Pongwe kikoneni,Shimoni,Anzwani,39.3941545,-4.6340885,traditional_mud,palm
86,3,Buffer,AK-864,AK-864,LungaLunga,Pongwe kikoneni,Rise And Shine,Mwarani,39.3973764,-4.6453939,block_cement,zinc
86,4,Buffer,AF-640,AF-640,LungaLunga,Pongwe kikoneni,Shimoni,Anzwani,39.3929107,-4.6332407,traditional_mud,palm
89,1,Core,AP-670,AP-670,LungaLunga,Pongwe kikoneni,Mzizima B,Kijiweni,39.3487808,-4.6309828,traditional_mud,palm
89,2,Core,AP-664,AP-671,LungaLunga,Pongwe kikoneni,Mzizima B,Kijiweni,39.3489951,-4.6312184,traditional_mud,palm
89,3,Core,AP-668,AP-668,LungaLunga,Pongwe kikoneni,Mzizima B,Kijiweni,39.3486265,-4.6308679,traditional_mud,palm
